City,Global Warming,Energy,Air Pollution,Drinking Water,Oceans,Food & agriculture rank,Natural Environment,Health,Wildlife,Recycling
Ystrad Mynach,1,,,,,,,,,
Ixmiquilpan,2,,,,,,,,,
Milagro,3,,,,,,20,,,
Tula,4,113,591,363,,466,30,885,,45
Santo Domingo,5,173,,,,224,80,,,13
Clemson,,1,,,,,,,214,
Stanford,,2,122,,,,,,,
Roorkee,,3,14,,,,,,,
Kharagpur,,4,29,,,,,,,
Houghton,,5,,,,,,,,
Karma,,,1,,,,,,,
Los Altos Hills,,,2,,,,,,,
Kulim,,,3,,,,,,,
Kuala Krai,,,4,,,,165,,,
Clovis,,,5,,252,,,,,130
Joinville-le-Pont,,,,1,,,,,,
Montpelier,,,,2,,,,,15,
Whitehorse,,,,3,,,,,7,
Mansoura,,,675,4,,703,,,,
Moscow,,31,41,5,,,,,37,
Ocean City,,,,,1,,,,,
Copalis Beach,,,,,2,,,,,
Berlin,,,,,3,,,,,
Middle Township,,,,,4,,,,,
Salisbury,,,,,5,,,81,,
Darwin,48,,,,347,,,1,38,
Franklin,,,,,,,,2,,
Woodlawn,,,,,81,,,3,,
Chapel Hill,129,15,,39,,,,4,,
Ballarat,,,,,,,,5,,
Hoedspruit,,,,,,,,,1,
Pratt,,,,,,,,,2,
Jackson,,,,,,,,,3,
Roseburg,,,,,,,,,4,
Orono,,,,,,,,,5,
Runcorn,,,,,,,,,,1
Colwood,,,,110,78,,,,502,2
Yopal,127,,,36,,,6,,,3
Cuitlahuac,,,,,,,42,,,4
Bathgate,,,,,,,,,,5
Ocana,,,,,,,1,,,
Oruro,,,,,,,2,,,
Sogamoso,,,,,,,3,,,
Cajamarca,49,,,15,,,4,,,68
Juliaca,,,,,,,5,,,